# Sweep MEMS 2D (VDC E3646A x Frequenza 33220A) - 20260908_130623
"# VDC da 0.0V a 5.0V (passo 1.0V, 6 curve)"
"# f_center=417520.0 Hz, span=+/-400.0 Hz, pts=301, navg=128"
vdc_target_V,vdc_meas_V,idc_meas_A,step_f,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
1.00,1.002,-1.338002e-04,104,417394.667,417394.667,9.260000e-02,1.045000e+00,1.128510e+01,21.050,70.000
1.00,1.002,-1.338002e-04,105,417397.333,417397.333,9.270000e-02,1.052000e+00,1.134844e+01,21.099,70.700
1.00,1.002,-1.338002e-04,106,417400.000,417400.000,9.290000e-02,1.045000e+00,1.124865e+01,21.022,70.000
1.00,1.002,-1.338002e-04,107,417402.667,417402.667,9.300000e-02,1.047000e+00,1.125806e+01,21.029,70.200
1.00,1.002,-1.338002e-04,108,417405.333,417405.333,9.270000e-02,1.047000e+00,1.129450e+01,21.057,70.900
1.00,1.002,-1.338002e-04,109,417408.000,417408.000,9.300000e-02,1.053000e+00,1.132258e+01,21.079,69.300
1.00,1.002,-1.338002e-04,110,417410.667,417410.667,9.290000e-02,1.051000e+00,1.131324e+01,21.072,70.300
1.00,1.002,-1.338002e-04,111,417413.333,417413.333,9.280000e-02,1.048000e+00,1.129310e+01,21.056,69.600
1.00,1.002,-1.338002e-04,112,417416.000,417416.000,9.260000e-02,1.043000e+00,1.126350e+01,21.033,70.600
1.00,1.002,-1.338002e-04,113,417418.667,417418.667,9.260000e-02,1.054000e+00,1.138229e+01,21.125,70.000
1.00,1.002,-1.338002e-04,114,417421.333,417421.333,9.270000e-02,1.054000e+00,1.137001e+01,21.115,69.500
1.00,1.002,-1.338002e-04,115,417424.000,417424.000,9.270000e-02,1.053000e+00,1.135922e+01,21.107,69.700
1.00,1.002,-1.338002e-04,116,417426.667,417426.667,9.290000e-02,1.043000e+00,1.122713e+01,21.005,70.200
1.00,1.002,-1.338002e-04,117,417429.333,417429.333,9.290000e-02,1.043000e+00,1.122713e+01,21.005,70.600
1.00,1.002,-1.338002e-04,118,417432.000,417432.000,9.290000e-02,1.046000e+00,1.125942e+01,21.030,71.400
1.00,1.002,-1.338002e-04,119,417434.667,417434.667,9.260000e-02,1.042000e+00,1.125270e+01,21.025,70.800
1.00,1.002,-1.338002e-04,120,417437.333,417437.333,9.260000e-02,1.051000e+00,1.134989e+01,21.100,71.400
1.00,1.002,-1.338002e-04,121,417440.000,417440.000,9.250000e-02,1.046000e+00,1.130811e+01,21.068,70.200
1.00,1.002,-1.338002e-04,122,417442.667,417442.667,9.280000e-02,1.051000e+00,1.132543e+01,21.081,68.900
1.00,1.002,-1.338002e-04,123,417445.333,417445.333,9.260000e-02,1.046000e+00,1.129590e+01,21.058,70.400
1.00,1.002,-1.338002e-04,124,417448.000,417448.000,9.270000e-02,1.049000e+00,1.131607e+01,21.074,70.000
1.00,1.002,-1.338002e-04,125,417450.667,417450.667,9.250000e-02,1.044000e+00,1.128649e+01,21.051,71.000
1.00,1.002,-1.338002e-04,126,417453.333,417453.333,9.320000e-02,1.043000e+00,1.119099e+01,20.977,70.900
1.00,1.002,-1.338002e-04,127,417456.000,417456.000,9.290000e-02,1.051000e+00,1.131324e+01,21.072,69.500
1.00,1.002,-1.338002e-04,128,417458.667,417458.667,9.300000e-02,1.046000e+00,1.124731e+01,21.021,70.700
1.00,1.002,-1.338002e-04,129,417461.333,417461.333,9.270000e-02,1.047000e+00,1.129450e+01,21.057,70.100
1.00,1.002,-1.338002e-04,130,417464.000,417464.000,9.300000e-02,1.051000e+00,1.130108e+01,21.062,70.100
1.00,1.002,-1.338002e-04,131,417466.667,417466.667,9.290000e-02,1.046000e+00,1.125942e+01,21.030,70.300
1.00,1.002,-1.338002e-04,132,417469.333,417469.333,9.290000e-02,1.047000e+00,1.127018e+01,21.039,68.900
1.00,1.002,-1.338002e-04,133,417472.000,417472.000,9.280000e-02,1.049000e+00,1.130388e+01,21.065,70.000
