x-axis,1,3,4
second,Volt,Volt,Volt
-248.8750E-06,+26.9745600E-03,+20.4498270E-03,-104.2415190E-03
-248.7500E-06,+22.7628766E-03,-11.4055432E-03,+25.0562183E-03
-248.6250E-06,+17.1341079E-03,-42.6279047E-03,+151.1297094E-03
-248.5000E-06,+9.6736808E-03,-70.3709948E-03,+263.9965424E-03
-248.3750E-06,+1.6290829E-03,-90.1627660E-03,+344.4205365E-03
-248.2500E-06,-4.7553391E-03,-100.7189845E-03,+387.5015662E-03
-248.1250E-06,-11.3527009E-03,-101.2791289E-03,+389.7785762E-03
-248.0000E-06,-18.1592335E-03,-91.6428225E-03,+350.3043304E-03
-247.8750E-06,-23.5788314E-03,-72.0650903E-03,+270.2446579E-03
-247.7500E-06,-27.0273238E-03,-45.7656245E-03,+163.0430259E-03
-247.6250E-06,-27.8018213E-03,-14.7390859E-03,+37.9532031E-03
-247.5000E-06,-25.3030776E-03,+18.2183572E-03,-95.7710417E-03
-247.3750E-06,-20.3508164E-03,+48.0426345E-03,-216.4343570E-03
-247.2500E-06,-14.1774496E-03,+72.2335891E-03,-314.6372454E-03
-247.1250E-06,-4.6196608E-03,+88.4686705E-03,-380.8344808E-03
-247.0000E-06,+6.9205401E-03,+95.0082433E-03,-406.9381238E-03
-246.8750E-06,+17.2132536E-03,+90.9506115E-03,-390.1975461E-03
-246.7500E-06,+24.5210425E-03,+77.0016480E-03,-333.5091045E-03
-246.6250E-06,+27.2270726E-03,+54.4137086E-03,-241.9186532E-03
-246.5000E-06,+27.5606153E-03,+24.7078358E-03,-121.5103630E-03
-246.3750E-06,+23.2471731E-03,-7.0109139E-03,+7.2955401E-03
-246.2500E-06,+17.6108666E-03,-38.5201786E-03,+134.4802121E-03
-246.1250E-06,+10.3558416E-03,-66.3133630E-03,+247.4563416E-03
-246.0000E-06,+2.7314698E-03,-87.3665977E-03,+333.1265668E-03
-245.8750E-06,-4.2088567E-03,-99.8446126E-03,+384.0040788E-03
-245.7500E-06,-11.0003140E-03,-101.8210573E-03,+392.0373702E-03
-245.6250E-06,-17.7955400E-03,-93.5281868E-03,+358.0825967E-03
-245.5000E-06,-23.2867460E-03,-75.1663780E-03,+282.9230497E-03
-245.3750E-06,-27.0103640E-03,-49.7367300E-03,+179.2006890E-03
-245.2500E-06,-27.3966706E-03,-19.1109451E-03,+55.6410170E-03
-245.1250E-06,-25.3690324E-03,+12.8582756E-03,-74.0392580E-03
-245.0000E-06,-21.5907661E-03,+43.2836836E-03,-197.1799602E-03
-244.8750E-06,-14.9538315E-03,+69.3326783E-03,-302.8696576E-03
-244.7500E-06,-5.6655150E-03,+86.8018992E-03,-374.0580990E-03
-244.6250E-06,+5.3602386E-03,+94.7167860E-03,-405.8269429E-03
-244.5000E-06,+16.2201631E-03,+92.1164406E-03,-394.9883752E-03
-244.3750E-06,+23.2509420E-03,+79.4790350E-03,-343.6008129E-03
-244.2500E-06,+27.5549620E-03,+57.9157500E-03,-256.1636279E-03
-244.1250E-06,+28.0656404E-03,+29.9221887E-03,-142.6592321E-03
-244.0000E-06,+24.2006907E-03,-1.5779679E-03,-14.7094848E-03
-243.8750E-06,+18.9488063E-03,-34.3350342E-03,+117.5210415E-03
-243.7500E-06,+11.9368717E-03,-62.8477537E-03,+233.3206633E-03
-243.6250E-06,+3.7886306E-03,-84.9393050E-03,+323.3080996E-03
-243.5000E-06,-2.9500628E-03,-98.7926340E-03,+379.6322196E-03
-243.3750E-06,-10.3972989E-03,-102.1808249E-03,+393.4400083E-03
-243.2500E-06,-16.4745601E-03,-95.2268363E-03,+365.0957875E-03
-243.1250E-06,-22.3087309E-03,-78.8369181E-03,+297.9330998E-03
-243.0000E-06,-26.6768213E-03,-54.4410327E-03,+198.4004376E-03
-242.8750E-06,-27.9016957E-03,-23.4691423E-03,+73.1284540E-03
-242.7500E-06,-26.5750625E-03,+8.4909704E-03,-56.2239316E-03
