"# Risultati Analisi Ringdown Accurata (Picchi Reali, Blanking 100 us)"
fase_deg,tau_ms,A0_mV,Q_factor,R2,file_csv
-10.00,2.2099,22.206,2900.6,0.94958,traccia_fase_-10.0deg.csv
-5.00,2.2238,22.403,2918.8,0.95088,traccia_fase_-5.0deg.csv
+0.00,2.2265,22.293,2922.4,0.94909,traccia_fase_+0.0deg.csv
+5.00,2.2276,22.498,2923.9,0.94996,traccia_fase_+5.0deg.csv
+10.00,2.2305,22.410,2927.7,0.94992,traccia_fase_+10.0deg.csv
+15.00,2.2171,22.721,2910.0,0.95096,traccia_fase_+15.0deg.csv
+20.00,2.2300,22.637,2927.0,0.94949,traccia_fase_+20.0deg.csv
+25.00,2.2294,22.743,2926.2,0.94933,traccia_fase_+25.0deg.csv
+30.00,2.2178,22.926,2911.0,0.95146,traccia_fase_+30.0deg.csv
+35.00,2.2204,23.206,2914.4,0.95091,traccia_fase_+35.0deg.csv
+40.00,2.2256,23.088,2921.2,0.95009,traccia_fase_+40.0deg.csv
+45.00,2.2298,23.007,2926.7,0.94959,traccia_fase_+45.0deg.csv
+50.00,2.2311,23.159,2928.5,0.95025,traccia_fase_+50.0deg.csv
+55.00,2.2132,23.233,2905.0,0.95014,traccia_fase_+55.0deg.csv
+60.00,2.2266,23.294,2922.5,0.94995,traccia_fase_+60.0deg.csv
+65.00,2.2279,23.253,2924.2,0.94960,traccia_fase_+65.0deg.csv
+70.00,2.2256,23.347,2921.3,0.95046,traccia_fase_+70.0deg.csv
+75.00,2.2254,23.323,2920.9,0.95091,traccia_fase_+75.0deg.csv
+80.00,2.2293,23.488,2926.1,0.95027,traccia_fase_+80.0deg.csv
+85.00,2.2362,23.571,2935.2,0.95029,traccia_fase_+85.0deg.csv
+90.00,2.2340,23.556,2932.3,0.94981,traccia_fase_+90.0deg.csv
+95.00,2.2324,23.652,2930.2,0.95116,traccia_fase_+95.0deg.csv
+100.00,2.2321,23.682,2929.8,0.95084,traccia_fase_+100.0deg.csv
+105.00,2.2354,23.761,2934.1,0.95009,traccia_fase_+105.0deg.csv
+110.00,2.2374,23.779,2936.8,0.94996,traccia_fase_+110.0deg.csv
+115.00,2.2395,23.853,2939.5,0.94785,traccia_fase_+115.0deg.csv
+120.00,2.2341,23.910,2932.4,0.95025,traccia_fase_+120.0deg.csv
+125.00,2.2374,23.956,2936.7,0.95021,traccia_fase_+125.0deg.csv
+130.00,2.2367,24.110,2935.8,0.95059,traccia_fase_+130.0deg.csv
+135.00,2.2285,24.180,2925.0,0.95127,traccia_fase_+135.0deg.csv
+140.00,2.2242,24.196,2919.4,0.95031,traccia_fase_+140.0deg.csv
+145.00,2.2304,24.223,2927.5,0.95091,traccia_fase_+145.0deg.csv
+150.00,2.2281,24.277,2924.5,0.95118,traccia_fase_+150.0deg.csv
+155.00,2.2332,24.350,2931.2,0.95083,traccia_fase_+155.0deg.csv
+160.00,2.2311,24.273,2928.4,0.95032,traccia_fase_+160.0deg.csv
+165.00,2.2377,24.327,2937.1,0.95057,traccia_fase_+165.0deg.csv
+170.00,2.2321,24.250,2929.8,0.95014,traccia_fase_+170.0deg.csv
+175.00,2.2347,24.212,2933.1,0.95082,traccia_fase_+175.0deg.csv
+180.00,2.2344,24.196,2932.8,0.94988,traccia_fase_+180.0deg.csv
+185.00,2.2428,24.179,2943.8,0.95014,traccia_fase_+185.0deg.csv
+190.00,2.2425,24.294,2943.4,0.95071,traccia_fase_+190.0deg.csv
+195.00,2.2423,24.333,2943.1,0.95144,traccia_fase_+195.0deg.csv
+200.00,2.2389,24.406,2938.7,0.95022,traccia_fase_+200.0deg.csv
+205.00,2.2376,24.393,2937.0,0.95089,traccia_fase_+205.0deg.csv
+210.00,2.2379,24.516,2937.3,0.95062,traccia_fase_+210.0deg.csv
+215.00,2.2401,24.571,2940.3,0.95077,traccia_fase_+215.0deg.csv
+220.00,2.2374,24.779,2936.7,0.95085,traccia_fase_+220.0deg.csv
+225.00,2.2358,24.645,2934.6,0.95082,traccia_fase_+225.0deg.csv
+230.00,2.2425,24.610,2943.5,0.95028,traccia_fase_+230.0deg.csv
+235.00,2.2430,24.648,2944.1,0.95032,traccia_fase_+235.0deg.csv
+240.00,2.2365,24.903,2935.5,0.94992,traccia_fase_+240.0deg.csv
+245.00,2.2503,25.017,2953.6,0.95122,traccia_fase_+245.0deg.csv
+250.00,2.2487,24.942,2951.6,0.94983,traccia_fase_+250.0deg.csv
+255.00,2.2557,24.955,2960.7,0.95001,traccia_fase_+255.0deg.csv
+260.00,2.2480,25.119,2950.6,0.95015,traccia_fase_+260.0deg.csv
+265.00,2.2545,25.125,2959.2,0.94911,traccia_fase_+265.0deg.csv
+270.00,2.2558,25.165,2960.8,0.95020,traccia_fase_+270.0deg.csv
+275.00,2.2545,25.279,2959.1,0.94890,traccia_fase_+275.0deg.csv
+280.00,2.2508,25.435,2954.4,0.95009,traccia_fase_+280.0deg.csv
+285.00,2.2462,25.550,2948.3,0.94984,traccia_fase_+285.0deg.csv
+290.00,2.2449,25.464,2946.5,0.94931,traccia_fase_+290.0deg.csv
+295.00,2.2530,25.490,2957.2,0.95060,traccia_fase_+295.0deg.csv
+300.00,2.2483,25.400,2951.0,0.95072,traccia_fase_+300.0deg.csv
+305.00,2.2460,25.524,2948.0,0.95062,traccia_fase_+305.0deg.csv
+310.00,2.2508,25.714,2954.3,0.95043,traccia_fase_+310.0deg.csv
+315.00,2.2480,25.684,2950.7,0.95060,traccia_fase_+315.0deg.csv
+320.00,2.2500,25.766,2953.3,0.95039,traccia_fase_+320.0deg.csv
+325.00,2.2493,25.788,2952.3,0.95068,traccia_fase_+325.0deg.csv
+330.00,2.2559,25.805,2961.0,0.94948,traccia_fase_+330.0deg.csv
+335.00,2.2525,25.713,2956.5,0.95039,traccia_fase_+335.0deg.csv
+340.00,2.2467,25.656,2948.9,0.95005,traccia_fase_+340.0deg.csv
+345.00,2.2489,25.732,2951.8,0.95039,traccia_fase_+345.0deg.csv
+350.00,2.2497,25.804,2952.8,0.94970,traccia_fase_+350.0deg.csv
+355.00,2.2499,26.011,2953.2,0.95092,traccia_fase_+355.0deg.csv
+360.00,2.2658,25.910,2974.0,0.95066,traccia_fase_+360.0deg.csv
