"# Analisi Frequenza fs, Tensione Residua V_post e Ampiezza A0 vs Burst Phase"
fase_deg,V_post_mV,fs_ringdown_Hz,Delta_fs_Hz,A0_mV
-75.00,-100.26,417798.693,-6.164,21.627
-70.00,-97.93,417799.717,-5.140,21.834
-65.00,-94.43,417798.987,-5.870,21.700
-60.00,-90.93,417798.965,-5.892,21.633
-55.00,-86.27,417799.398,-5.459,21.791
-50.00,-80.44,417799.709,-5.148,21.828
-45.00,-74.61,417799.835,-5.022,21.836
-40.00,-68.78,417799.829,-5.028,21.824
-35.00,-61.79,417800.552,-4.305,21.865
-30.00,-53.63,417801.099,-3.758,21.957
-25.00,-46.63,417801.804,-3.053,22.046
-20.00,-38.47,417802.503,-2.354,22.085
-15.00,-29.15,417802.836,-2.021,22.163
-10.00,-20.98,417803.402,-1.455,22.206
-5.00,-11.70,417804.200,-0.657,22.403
+0.00,-3.50,417804.238,-0.619,22.293
+5.00,+4.66,417804.540,-0.317,22.498
+10.00,+12.82,417804.895,+0.038,22.410
+15.00,+21.01,417805.917,+1.060,22.721
+20.00,+30.31,417805.777,+0.920,22.637
+25.00,+38.47,417806.606,+1.749,22.743
+30.00,+45.47,417807.427,+2.570,22.926
+35.00,+53.63,417808.196,+3.339,23.206
+40.00,+60.62,417808.636,+3.779,23.088
+45.00,+66.45,417808.468,+3.611,23.007
+50.00,+72.28,417809.323,+4.466,23.159
+55.00,+78.11,417809.985,+5.128,23.233
+60.00,+82.77,417809.845,+4.988,23.294
+65.00,+86.30,417810.032,+5.175,23.253
+70.00,+89.77,417810.429,+5.572,23.347
+75.00,+92.62,417810.312,+5.455,23.323
+80.00,+94.43,417811.352,+6.495,23.488
+85.00,+95.60,417811.783,+6.926,23.571
+90.00,+95.73,417812.216,+7.359,23.556
+95.00,+95.60,417812.292,+7.435,23.652
+100.00,+94.43,417812.549,+7.692,23.682
+105.00,+93.27,417812.837,+7.980,23.761
+110.00,+89.77,417813.334,+8.477,23.779
+115.00,+86.27,417813.599,+8.742,23.853
+120.00,+82.77,417814.008,+9.151,23.910
+125.00,+78.11,417813.860,+9.003,23.956
+130.00,+72.28,417814.041,+9.184,24.110
+135.00,+66.45,417814.943,+10.087,24.180
+140.00,+60.62,417814.617,+9.760,24.196
+145.00,+53.63,417814.936,+10.080,24.223
+150.00,+45.47,417814.996,+10.139,24.277
+155.00,+38.47,417815.181,+10.324,24.350
+160.00,+30.31,417815.530,+10.673,24.273
+165.00,+21.02,417815.200,+10.343,24.327
+170.00,+12.82,417814.355,+9.498,24.250
+175.00,+4.66,417814.173,+9.316,24.212
+180.00,-3.50,417814.128,+9.271,24.196
+185.00,-11.66,417814.424,+9.567,24.179
+190.00,-20.98,417814.754,+9.897,24.294
+195.00,-29.15,417814.827,+9.970,24.333
+200.00,-38.47,417814.827,+9.970,24.406
+205.00,-46.63,417814.877,+10.020,24.393
+210.00,-53.63,417815.320,+10.463,24.516
+215.00,-61.79,417815.558,+10.701,24.571
+220.00,-68.78,417816.033,+11.176,24.779
+225.00,-74.61,417815.540,+10.683,24.645
+230.00,-80.44,417815.349,+10.492,24.610
+235.00,-86.27,417815.327,+10.470,24.648
+240.00,-90.93,417816.817,+11.960,24.903
+245.00,-94.43,417817.646,+12.789,25.017
+250.00,-97.93,417817.560,+12.703,24.942
+255.00,-100.26,417817.532,+12.675,24.955
+260.00,-102.59,417818.369,+13.512,25.119
+265.00,-103.76,417818.407,+13.550,25.125
+270.00,-103.76,417818.942,+14.085,25.165
+275.00,-103.76,417819.167,+14.310,25.279
+280.00,-102.59,417820.040,+15.183,25.435
+285.00,-100.26,417820.946,+16.089,25.550
+290.00,-97.93,417820.711,+15.854,25.464
+295.00,-94.43,417820.716,+15.859,25.490
+300.00,-90.93,417820.425,+15.568,25.400
+305.00,-86.27,417820.878,+16.021,25.524
+310.00,-80.44,417821.736,+16.879,25.714
+315.00,-74.61,417821.233,+16.376,25.684
+320.00,-68.78,417821.943,+17.086,25.766
+325.00,-61.79,417822.304,+17.447,25.788
+330.00,-53.63,417822.867,+18.010,25.805
+335.00,-46.63,417822.825,+17.968,25.713
+340.00,-38.47,417822.532,+17.675,25.656
+345.00,-29.15,417823.065,+18.208,25.732
+350.00,-20.98,417823.897,+19.040,25.804
+355.00,-12.60,417824.176,+19.319,26.011
+360.00,-3.50,417825.164,+20.307,25.910
