# Sweep MEMS Completo Sincronizzato (128 Medie Modulo + Fase) - 20260907_160506
"# f_center=417520.0 Hz, span=+/-400.0 Hz, points=401, navg=128, Vpp=0.1 V"
step,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
288,417694.000,417694.000,9.135000e-02,1.007000e+00,1.102354e+01,20.846,70.600
289,417696.000,417696.000,9.142000e-02,1.005000e+00,1.099322e+01,20.822,70.100
290,417698.000,417698.000,9.153000e-02,1.007000e+00,1.100186e+01,20.829,70.300
291,417700.000,417700.000,9.149000e-02,1.004000e+00,1.097388e+01,20.807,70.400
292,417702.000,417702.000,9.139000e-02,1.007000e+00,1.101871e+01,20.843,70.100
293,417704.000,417704.000,9.135000e-02,1.006000e+00,1.101259e+01,20.838,69.900
294,417706.000,417706.000,9.149000e-02,1.011000e+00,1.105039e+01,20.868,69.800
295,417708.000,417708.000,9.139000e-02,1.007000e+00,1.101871e+01,20.843,69.800
296,417710.000,417710.000,9.132000e-02,1.009000e+00,1.104906e+01,20.867,69.500
297,417712.000,417712.000,9.149000e-02,1.007000e+00,1.100667e+01,20.833,70.000
298,417714.000,417714.000,9.146000e-02,1.006000e+00,1.099934e+01,20.827,70.000
299,417716.000,417716.000,9.139000e-02,1.003000e+00,1.097494e+01,20.808,70.400
300,417718.000,417718.000,9.149000e-02,1.004000e+00,1.097388e+01,20.807,70.300
301,417720.000,417720.000,9.139000e-02,1.011000e+00,1.106248e+01,20.877,69.600
302,417722.000,417722.000,9.142000e-02,1.008000e+00,1.102603e+01,20.848,70.000
303,417724.000,417724.000,9.135000e-02,1.009000e+00,1.104543e+01,20.864,70.500
304,417726.000,417726.000,9.135000e-02,1.007000e+00,1.102354e+01,20.846,70.200
305,417728.000,417728.000,9.149000e-02,1.009000e+00,1.102853e+01,20.850,69.900
306,417730.000,417730.000,9.146000e-02,1.007000e+00,1.101028e+01,20.836,70.000
307,417732.000,417732.000,9.146000e-02,1.005000e+00,1.098841e+01,20.819,70.400
308,417734.000,417734.000,9.135000e-02,1.011000e+00,1.106732e+01,20.881,70.400
309,417736.000,417736.000,9.132000e-02,1.005000e+00,1.100526e+01,20.832,70.400
310,417738.000,417738.000,9.139000e-02,1.009000e+00,1.104060e+01,20.860,70.200
311,417740.000,417740.000,9.142000e-02,1.012000e+00,1.106979e+01,20.883,70.200
312,417742.000,417742.000,9.142000e-02,1.011000e+00,1.105885e+01,20.874,69.400
313,417744.000,417744.000,9.149000e-02,1.007000e+00,1.100667e+01,20.833,69.800
314,417746.000,417746.000,9.142000e-02,1.010000e+00,1.104791e+01,20.866,69.800
315,417748.000,417748.000,9.156000e-02,1.006000e+00,1.098733e+01,20.818,70.600
316,417750.000,417750.000,9.139000e-02,1.007000e+00,1.101871e+01,20.843,70.400
317,417752.000,417752.000,9.132000e-02,1.006000e+00,1.101621e+01,20.841,70.600
318,417754.000,417754.000,9.135000e-02,1.008000e+00,1.103448e+01,20.855,70.300
319,417756.000,417756.000,9.156000e-02,1.012000e+00,1.105286e+01,20.869,69.700
320,417758.000,417758.000,9.153000e-02,1.012000e+00,1.105648e+01,20.872,70.000
321,417760.000,417760.000,9.142000e-02,1.013000e+00,1.108073e+01,20.891,70.400
322,417762.000,417762.000,9.146000e-02,1.008000e+00,1.102121e+01,20.845,70.400
323,417764.000,417764.000,9.135000e-02,1.009000e+00,1.104543e+01,20.864,70.500
324,417766.000,417766.000,9.153000e-02,1.010000e+00,1.103463e+01,20.855,69.900
325,417768.000,417768.000,9.146000e-02,1.005000e+00,1.098841e+01,20.819,70.400
326,417770.000,417770.000,9.135000e-02,1.012000e+00,1.107827e+01,20.889,70.100
327,417772.000,417772.000,9.149000e-02,1.014000e+00,1.108318e+01,20.893,69.600
328,417774.000,417774.000,9.139000e-02,1.009000e+00,1.104060e+01,20.860,69.800
329,417776.000,417776.000,9.135000e-02,1.010000e+00,1.105638e+01,20.872,70.300
330,417778.000,417778.000,9.142000e-02,1.008000e+00,1.102603e+01,20.848,70.400
331,417780.000,417780.000,9.139000e-02,1.011000e+00,1.106248e+01,20.877,70.300
332,417782.000,417782.000,9.132000e-02,1.010000e+00,1.106001e+01,20.875,69.700
333,417784.000,417784.000,9.128000e-02,1.010000e+00,1.106486e+01,20.879,70.100
334,417786.000,417786.000,9.139000e-02,1.011000e+00,1.106248e+01,20.877,70.500
335,417788.000,417788.000,9.146000e-02,1.010000e+00,1.104308e+01,20.862,69.800
336,417790.000,417790.000,9.135000e-02,1.009000e+00,1.104543e+01,20.864,70.400
337,417792.000,417792.000,9.135000e-02,1.009000e+00,1.104543e+01,20.864,70.800
338,417794.000,417794.000,9.139000e-02,1.007000e+00,1.101871e+01,20.843,70.000
339,417796.000,417796.000,9.135000e-02,1.015000e+00,1.111111e+01,20.915,69.900
340,417798.000,417798.000,9.142000e-02,1.012000e+00,1.106979e+01,20.883,70.000
341,417800.000,417800.000,9.146000e-02,1.012000e+00,1.106495e+01,20.879,70.300
342,417802.000,417802.000,9.156000e-02,1.009000e+00,1.102010e+01,20.844,70.100
343,417804.000,417804.000,9.149000e-02,1.013000e+00,1.107225e+01,20.885,69.900
344,417806.000,417806.000,9.160000e-02,1.010000e+00,1.102620e+01,20.849,69.900
345,417808.000,417808.000,9.149000e-02,1.009000e+00,1.102853e+01,20.850,70.000
346,417810.000,417810.000,9.146000e-02,1.009000e+00,1.103215e+01,20.853,70.100
347,417812.000,417812.000,9.146000e-02,1.009000e+00,1.103215e+01,20.853,70.500
348,417814.000,417814.000,9.146000e-02,1.010000e+00,1.104308e+01,20.862,70.100
349,417816.000,417816.000,9.139000e-02,1.010000e+00,1.105154e+01,20.868,69.500
350,417818.000,417818.000,9.142000e-02,1.011000e+00,1.105885e+01,20.874,70.500
351,417820.000,417820.000,9.146000e-02,1.008000e+00,1.102121e+01,20.845,70.500
352,417822.000,417822.000,9.135000e-02,1.013000e+00,1.108922e+01,20.898,70.300
353,417824.000,417824.000,9.132000e-02,1.014000e+00,1.110381e+01,20.909,69.700
354,417826.000,417826.000,9.149000e-02,1.011000e+00,1.105039e+01,20.868,70.000
355,417828.000,417828.000,9.139000e-02,1.012000e+00,1.107342e+01,20.886,69.500
356,417830.000,417830.000,9.142000e-02,1.015000e+00,1.110260e+01,20.908,70.100
357,417832.000,417832.000,9.163000e-02,1.010000e+00,1.102259e+01,20.846,69.900
358,417834.000,417834.000,9.160000e-02,1.014000e+00,1.106987e+01,20.883,70.300
359,417836.000,417836.000,9.153000e-02,1.010000e+00,1.103463e+01,20.855,69.600
360,417838.000,417838.000,9.132000e-02,1.010000e+00,1.106001e+01,20.875,69.800
361,417840.000,417840.000,9.139000e-02,1.011000e+00,1.106248e+01,20.877,69.900
362,417842.000,417842.000,9.142000e-02,1.015000e+00,1.110260e+01,20.908,70.000
363,417844.000,417844.000,9.146000e-02,1.010000e+00,1.104308e+01,20.862,69.500
364,417846.000,417846.000,9.149000e-02,1.011000e+00,1.105039e+01,20.868,69.500
365,417848.000,417848.000,9.135000e-02,1.012000e+00,1.107827e+01,20.889,70.400
366,417850.000,417850.000,9.139000e-02,1.010000e+00,1.105154e+01,20.868,69.400
367,417852.000,417852.000,9.146000e-02,1.012000e+00,1.106495e+01,20.879,70.500
368,417854.000,417854.000,9.146000e-02,1.008000e+00,1.102121e+01,20.845,70.600
369,417856.000,417856.000,9.132000e-02,1.007000e+00,1.102716e+01,20.849,70.100
370,417858.000,417858.000,9.153000e-02,1.009000e+00,1.102371e+01,20.847,70.000
371,417860.000,417860.000,9.142000e-02,1.009000e+00,1.103697e+01,20.857,70.800
372,417862.000,417862.000,9.149000e-02,1.012000e+00,1.106132e+01,20.876,70.600
373,417864.000,417864.000,9.149000e-02,1.013000e+00,1.107225e+01,20.885,70.000
374,417866.000,417866.000,9.149000e-02,1.013000e+00,1.107225e+01,20.885,69.900
375,417868.000,417868.000,9.132000e-02,1.009000e+00,1.104906e+01,20.867,70.000
376,417870.000,417870.000,9.135000e-02,1.005000e+00,1.100164e+01,20.829,70.300
377,417872.000,417872.000,9.146000e-02,1.012000e+00,1.106495e+01,20.879,70.200
